Date,Location,Temp_C
1773-11-01,Chicago,5.287999999999999
1773-12-01,Chicago,3.926
1774-01-01,Chicago,-3.583
1774-02-01,Chicago,1.149
1774-03-01,Chicago,3.716
1774-04-01,Chicago,10.192
1774-06-01,Chicago,18.679
1774-07-01,Chicago,23.605
1774-08-01,Chicago,23.068
1774-09-01,Chicago,18.149
1774-10-01,Chicago,13.183
1774-11-01,Chicago,5.627000000000001
1774-12-01,Chicago,-0.8369999999999997
1775-01-01,Chicago,1.8280000000000003
1775-02-01,Chicago,3.801
1775-03-01,Chicago,5.787000000000001
1775-04-01,Chicago,6.706
1775-05-01,Chicago,12.759
1775-06-01,Chicago,16.392
1775-07-01,Chicago,22.009
1775-08-01,Chicago,22.409
1775-09-01,Chicago,17.448
1775-10-01,Chicago,13.132
1775-11-01,Chicago,9.65
1775-12-01,Chicago,-0.034
1776-01-01,Chicago,-2.9410000000000003
1776-02-01,Chicago,0.848
1776-03-01,Chicago,1.976
1776-04-01,Chicago,6.401
1776-05-01,Chicago,10.402
1776-06-01,Chicago,18.35
1776-07-01,Chicago,21.317
1776-08-01,Chicago,23.378
1776-09-01,Chicago,18.036
1776-10-01,Chicago,11.817
1776-11-01,Chicago,7.33
1776-12-01,Chicago,2.872
1777-01-01,Chicago,3.268
1777-02-01,Chicago,1.937
1777-03-01,Chicago,3.35
1777-04-01,Chicago,5.065
1777-05-01,Chicago,11.112
1777-06-01,Chicago,15.776
1777-07-01,Chicago,19.352
1777-08-01,Chicago,21.624
1777-09-01,Chicago,17.846
1777-10-01,Chicago,10.43
1777-11-01,Chicago,5.5
1777-12-01,Chicago,0.7290000000000001
1778-01-01,Chicago,-0.705
1778-02-01,Chicago,2.774
1778-03-01,Chicago,1.692
1778-04-01,Chicago,9.354
1778-05-01,Chicago,11.521999999999998
1778-06-01,Chicago,15.168
1778-09-01,Chicago,20.143
1778-10-01,Chicago,11.83
1778-11-01,Chicago,4.930999999999999
1778-12-01,Chicago,-0.4080000000000001
1779-01-01,Chicago,-2.168
1779-02-01,Chicago,1.944
1779-03-01,Chicago,3.838
1779-04-01,Chicago,8.557
1779-05-01,Chicago,14.606
1779-06-01,Chicago,16.094
1779-07-01,Chicago,20.805
1779-08-01,Chicago,22.154
1779-09-01,Chicago,19.048
1779-10-01,Chicago,12.535
1779-11-01,Chicago,6.5
1779-12-01,Chicago,-0.036
1780-01-01,Chicago,-0.2729999999999999
1780-02-01,Chicago,1.861
1780-03-01,Chicago,3.26
1780-04-01,Chicago,13.46
1780-05-01,Chicago,17.057000000000002
1780-06-01,Chicago,19.243
1780-07-01,Chicago,23.827
1780-08-01,Chicago,21.897
1781-01-01,Chicago,0.5920000000000001
1781-02-01,Chicago,0.413
1781-03-01,Chicago,3.256
1781-04-01,Chicago,5.876
1781-05-01,Chicago,11.884
1781-06-01,Chicago,16.343
1781-07-01,Chicago,22.579
1781-08-01,Chicago,23.125
1781-09-01,Chicago,16.730999999999998
1781-10-01,Chicago,12.41
1781-11-01,Chicago,6.827000000000001
1781-12-01,Chicago,2.076
1782-01-01,Chicago,-3.2260000000000004
1782-02-01,Chicago,-1.4540000000000002
1782-03-01,Chicago,0.4860000000000002
1782-04-01,Chicago,8.299
1782-05-01,Chicago,12.182
1782-06-01,Chicago,18.387
1782-07-01,Chicago,21.318
1782-08-01,Chicago,24.128
1782-09-01,Chicago,19.408
1782-10-01,Chicago,11.528
1782-11-01,Chicago,5.337999999999999
1782-12-01,Chicago,-0.1580000000000001
1783-01-01,Chicago,-3.671
1783-02-01,Chicago,2.1580000000000004
1783-03-01,Chicago,2.6710000000000003
1783-04-01,Chicago,7.065
1783-05-01,Chicago,12.621
1783-06-01,Chicago,18.751
1783-07-01,Chicago,20.863000000000003
1783-08-01,Chicago,22.597
1783-09-01,Chicago,16.294
1783-10-01,Chicago,10.504
1783-11-01,Chicago,3.16
1783-12-01,Chicago,0.3129999999999999
1784-01-01,Chicago,-1.923
1784-02-01,Chicago,-3.0780000000000003
1784-03-01,Chicago,1.826
1784-04-01,Chicago,5.808000000000002
1784-05-01,Chicago,10.96
1784-06-01,Chicago,17.288
1784-07-01,Chicago,22.219
1784-08-01,Chicago,24.231
1784-09-01,Chicago,17.802
1784-10-01,Chicago,10.616
1784-11-01,Chicago,6.649
1784-12-01,Chicago,0.4220000000000001
1785-01-01,Chicago,-2.081
1785-02-01,Chicago,-1.193
1785-03-01,Chicago,-0.7650000000000001
1785-04-01,Chicago,5.78
1785-05-01,Chicago,10.44
1785-06-01,Chicago,18.602
1785-07-01,Chicago,22.085
1785-08-01,Chicago,22.946
1785-09-01,Chicago,17.008
1785-10-01,Chicago,10.836
1785-11-01,Chicago,6.422999999999999
1785-12-01,Chicago,0.3740000000000001
1786-01-01,Chicago,-2.901
1786-02-01,Chicago,-0.113
1786-03-01,Chicago,4.4190000000000005
1786-04-01,Chicago,7.035
1786-05-01,Chicago,11.706
1786-06-01,Chicago,17.929000000000002
1786-07-01,Chicago,22.673
1786-08-01,Chicago,22.646
1786-09-01,Chicago,19.344
1786-10-01,Chicago,11.927
1786-11-01,Chicago,4.289999999999999
1786-12-01,Chicago,-1.962
1787-01-01,Chicago,0.0180000000000002
1787-02-01,Chicago,-0.249
1787-03-01,Chicago,3.73
1787-04-01,Chicago,6.792999999999999
1787-05-01,Chicago,11.535
1787-06-01,Chicago,17.632
1787-07-01,Chicago,20.996
1787-08-01,Chicago,22.206
1787-09-01,Chicago,17.081
1787-10-01,Chicago,10.481
1787-11-01,Chicago,6.791
1787-12-01,Chicago,0.369
1788-01-01,Chicago,-2.394
1788-02-01,Chicago,-0.134
1788-03-01,Chicago,3.335
1788-04-01,Chicago,7.662000000000001
1788-05-01,Chicago,11.411
1788-06-01,Chicago,17.953
1788-07-01,Chicago,23.823
1788-08-01,Chicago,22.87
1788-09-01,Chicago,18.757
1788-10-01,Chicago,13.838
1788-11-01,Chicago,7.814
1788-12-01,Chicago,-1.5789999999999995
1789-01-01,Chicago,-0.0209999999999999
1789-02-01,Chicago,-1.7580000000000002
1789-03-01,Chicago,2.144
1789-04-01,Chicago,6.452000000000001
1789-05-01,Chicago,11.524
1789-06-01,Chicago,17.809
1789-07-01,Chicago,23.025
1789-08-01,Chicago,23.186
1789-09-01,Chicago,18.744
1789-10-01,Chicago,10.187
1789-11-01,Chicago,6.718
1789-12-01,Chicago,2.317
1790-01-01,Chicago,0.4080000000000001
1790-02-01,Chicago,0.421
1790-03-01,Chicago,2.821
1790-04-01,Chicago,5.056
1790-05-01,Chicago,11.534
1790-06-01,Chicago,18.484
1790-07-01,Chicago,21.343000000000004
1790-08-01,Chicago,22.812
1790-09-01,Chicago,18.506
1790-10-01,Chicago,12.206
1790-11-01,Chicago,5.928
1790-12-01,Chicago,-0.3580000000000001
1791-01-01,Chicago,-0.0159999999999997
1791-02-01,Chicago,-0.4320000000000001
1791-03-01,Chicago,4.425
1791-04-01,Chicago,7.621
1791-05-01,Chicago,11.837
1791-06-01,Chicago,17.608
1791-07-01,Chicago,21.226
1791-08-01,Chicago,22.528
1791-09-01,Chicago,17.79
1791-10-01,Chicago,10.811
1791-11-01,Chicago,6.564
1791-12-01,Chicago,1.482
1792-01-01,Chicago,-3.828
1792-02-01,Chicago,0.162
1792-03-01,Chicago,3.404
1792-04-01,Chicago,6.839
1792-05-01,Chicago,12.282
1792-06-01,Chicago,17.456
1792-07-01,Chicago,21.489
1792-08-01,Chicago,21.058000000000003
1792-09-01,Chicago,18.044
1792-10-01,Chicago,11.902
1792-11-01,Chicago,5.964
1792-12-01,Chicago,0.6090000000000001
1793-01-01,Chicago,-1.1989999999999998
1793-02-01,Chicago,1.247
1793-03-01,Chicago,3.523
